x,y_detected,baseline_y,deflection_y_px,modified_z,confidence
412,17.0,17.091095,-0.09109497,-0.1666641,0.45454547
413,17.0,17.086802,-0.08680153,-0.16274275,0.4409091
414,17.0,17.082508,-0.08250809,-0.1588214,0.3590909
415,17.0,17.078213,-0.07821274,-0.15489832,0.24090908
416,17.0,17.07392,-0.073919296,-0.15097699,0.55454546
417,17.0,17.069626,-0.069625854,-0.14705563,0.8727273
418,17.0,17.065332,-0.06533241,-0.14313428,0.8636364
419,17.0,17.061039,-0.06103897,-0.13921295,0.8909091
420,17.0,17.056746,-0.05674553,-0.1352916,0.6818182
421,16.0,17.052452,-1.0524521,-1.0447037,0.45
422,16.0,17.048159,-1.0481586,-1.0407823,0.50454545
423,16.0,17.043865,-1.0438652,-1.0368611,0.5272727
424,17.0,17.039572,-0.039571762,-0.11960622,0.46818182
425,16.0,17.035278,-1.0352783,-1.0290183,0.3590909
426,17.0,17.030983,-0.030982971,-0.111761786,0.37272727
427,17.0,17.02669,-0.02668953,-0.10784045,0.3909091
428,17.0,17.022396,-0.022396088,-0.103919104,0.3409091
429,17.0,17.018103,-0.018102646,-0.09999776,0.30454546
430,15.0,17.01381,-2.0138092,-1.9227434,0.26818183
431,15.0,17.009516,-2.0095158,-1.918822,0.3090909
432,15.0,17.005222,-2.0052223,-1.9149007,0.3181818
433,15.0,17.000929,-2.0009289,-1.9109794,0.33636364
434,15.0,16.996635,-1.9966354,-1.907058,0.37727273
435,15.0,16.992342,-1.992342,-1.9031366,0.39545456
436,15.0,16.988049,-1.9880486,-1.8992152,0.3272727
437,16.0,16.983753,-0.9837532,-0.98195875,0.32272726
438,16.0,16.97946,-0.97945976,-0.9780374,0.35
439,15.0,16.975166,-1.9751663,-1.8874495,0.35454544
440,17.0,16.970873,0.029127121,-0.056861233,0.35
441,17.0,16.96658,0.033420563,-0.052939888,0.44545454
442,17.0,16.962286,0.037714005,-0.049018543,0.49545455
443,16.0,16.957993,-0.95799255,-0.9584307,0.5272727
444,16.0,16.9537,-0.9536991,-0.9545093,0.4909091
445,15.0,16.949406,-1.9494057,-1.8639214,0.57272726
446,16.0,16.945112,-0.9451122,-0.94666666,0.5409091
447,17.0,16.940819,0.059181213,-0.029411824,0.5954546
448,16.0,16.936523,-0.93652344,-0.9388222,0.53636366
449,15.0,16.93223,-1.93223,-1.8482343,0.6181818
450,15.0,16.927937,-1.9279366,-1.8443131,0.5409091
451,16.0,16.923643,-0.9236431,-0.9270582,0.35454544
452,17.0,16.91935,0.08065033,-0.00980336,0.52272725
453,17.0,16.915056,0.08494377,-0.0058820164,0.83181816
454,17.0,16.910763,0.08923721,-0.001960672,0.8636364
455,17.0,16.90647,0.093530655,0.001960672,0.9909091
456,17.0,16.902176,0.0978241,0.0058820164,0.7318182
457,15.0,16.897882,-1.8978825,-1.8168637,0.4181818
458,15.0,16.893589,-1.893589,-1.8129423,0.35
459,15.0,16.889294,-1.8892937,-1.8090192,0.29545453
460,15.0,16.885,-1.8850002,-1.8050978,0.55454546
461,15.0,16.880707,-1.8807068,-1.8011764,0.82272726
462,15.0,16.876413,-1.8764133,-1.7972552,0.8363636
463,17.0,16.87212,0.1278801,0.033333167,0.74545455
464,15.0,16.867826,-1.8678265,-1.7894125,0.6227273
